,ZCTA5CE10,NAME,CBSAFP
404,94301,"San Jose-Sunnyvale-Santa Clara, CA",41940
405,94301,"San Francisco-Oakland-Hayward, CA",41860
406,94303,"San Jose-Sunnyvale-Santa Clara, CA",41940
407,94303,"San Francisco-Oakland-Hayward, CA",41860
408,94304,"San Jose-Sunnyvale-Santa Clara, CA",41940
409,94304,"San Francisco-Oakland-Hayward, CA",41860
410,94305,"San Jose-Sunnyvale-Santa Clara, CA",41940
411,94305,"San Francisco-Oakland-Hayward, CA",41860
412,94306,"San Jose-Sunnyvale-Santa Clara, CA",41940
413,94401,"San Francisco-Oakland-Hayward, CA",41860
414,94402,"San Francisco-Oakland-Hayward, CA",41860
415,94403,"San Francisco-Oakland-Hayward, CA",41860
416,94404,"San Francisco-Oakland-Hayward, CA",41860
417,94501,"San Francisco-Oakland-Hayward, CA",41860
418,94502,"San Francisco-Oakland-Hayward, CA",41860
419,94503,"Vallejo-Fairfield, CA",46700
420,94503,"Napa, CA",34900
421,94505,"San Francisco-Oakland-Hayward, CA",41860
422,94505,"Stockton-Lodi, CA",44700
423,94506,"San Francisco-Oakland-Hayward, CA",41860
424,94507,"San Francisco-Oakland-Hayward, CA",41860
425,42440,"Madisonville, KY",31580
426,48801,"Alma, MI",10940
427,48801,"Mount Pleasant, MI",34380
428,42441,"Madisonville, KY",31580
429,39563,"Gulfport-Biloxi-Pascagoula, MS",25060
430,48806,"Lansing-East Lansing, MI",29620
431,48806,"Alma, MI",10940
432,48806,"Saginaw, MI",40980
433,42442,"Clarksville, TN-KY",17300
434,42442,"Madisonville, KY",31580
435,48807,"Lansing-East Lansing, MI",29620
436,48807,"Alma, MI",10940
437,48807,"Saginaw, MI",40980
438,48808,"Lansing-East Lansing, MI",29620
439,48809,"Grand Rapids-Wyoming, MI",24340
440,48809,"Ionia, MI",26960
441,42445,"Clarksville, TN-KY",17300
442,42445,"Madisonville, KY",31580
443,39564,"Gulfport-Biloxi-Pascagoula, MS",25060
444,48811,"Lansing-East Lansing, MI",29620
445,48811,"Grand Rapids-Wyoming, MI",24340
446,48811,"Ionia, MI",26960
447,48811,"Alma, MI",10940
448,42450,"Madisonville, KY",31580
